timestamp,comune,provincia,temperatura
2026-08-06T12:01:25.634Z,Adrano,CT,25.1
2026-08-06T12:01:25.634Z,Belpasso,CT,36.9
2026-08-06T12:01:25.634Z,Biancavilla,CT,35.7
2026-08-06T12:01:25.634Z,Bronte,CT,31.5
2026-08-06T12:01:25.634Z,Calatabiano,CT,27.3
2026-08-06T12:01:25.634Z,Caltagirone,CT,33.5
2026-08-06T12:01:25.634Z,Camporotondo Etneo,CT,33.8
2026-08-06T12:01:25.634Z,Castel di Iudica,CT,-273.1
2026-08-06T12:01:25.634Z,Castiglione di Sicilia,CT,35.6
2026-08-06T12:01:25.634Z,Catania,CT,34
2026-08-06T12:01:25.634Z,Fiumefreddo di Sicilia,CT,34.4
2026-08-06T12:01:25.634Z,Giarre,CT,32.9
2026-08-06T12:01:25.634Z,Grammichele,CT,33.6
2026-08-06T12:01:25.634Z,Gravina di Catania,CT,33.9
2026-08-06T12:01:25.634Z,Licodia Eubea,CT,35
2026-08-06T12:01:25.634Z,Linguaglossa,CT,31.3
2026-08-06T12:01:25.634Z,Maletto,CT,31.5
2026-08-06T12:01:25.634Z,Mascali,CT,34.6
2026-08-06T12:01:25.634Z,Mascalucia,CT,33.7
2026-08-06T12:01:25.634Z,Militello in Val di Catania,CT,36.1
2026-08-06T12:01:25.634Z,Milo,CT,19.8
2026-08-06T12:01:25.634Z,Mineo,CT,38.2
2026-08-06T12:01:25.634Z,Mirabella Imbaccari,CT,35.8
2026-08-06T12:01:25.634Z,Misterbianco,CT,34
2026-08-06T12:01:25.634Z,Motta Sant'Anastasia,CT,35.8
2026-08-06T12:01:25.634Z,Nicolosi,CT,30.2
2026-08-06T12:01:25.634Z,Palagonia,CT,33
2026-08-06T12:01:25.634Z,Paternò,CT,36.8
2026-08-06T12:01:25.634Z,Pedara,CT,30.2
2026-08-06T12:01:25.634Z,Piedimonte Etneo,CT,31.3
2026-08-06T12:01:25.634Z,Raddusa,CT,32.9
2026-08-06T12:01:25.634Z,Ramacca,CT,36
2026-08-06T12:01:25.634Z,Randazzo,CT,31.5
2026-08-06T12:01:25.634Z,Riposto,CT,35
2026-08-06T12:01:25.634Z,San Cono,CT,34.3
2026-08-06T12:01:25.634Z,San Giovanni la Punta,CT,33.7
2026-08-06T12:01:25.634Z,San Gregorio di Catania,CT,33.7
2026-08-06T12:01:25.634Z,San Michele di Ganzaria,CT,35.8
2026-08-06T12:01:25.634Z,San Pietro Clarenza,CT,33.7
2026-08-06T12:01:25.634Z,Sant'Agata li Battiati,CT,33.4
2026-08-06T12:01:25.634Z,Sant'Alfio,CT,19.8
2026-08-06T12:01:25.634Z,Santa Maria di Licodia,CT,35.8
2026-08-06T12:01:25.634Z,Santa Venerina,CT,32.9
2026-08-06T12:01:25.634Z,Scordia,CT,36.1
2026-08-06T12:01:25.634Z,Trecastagni,CT,30.2
2026-08-06T12:01:25.634Z,Tremestieri Etneo,CT,33.9
2026-08-06T12:01:25.634Z,Valverde,CT,33.7
2026-08-06T12:01:25.634Z,Viagrande,CT,32.6
2026-08-06T12:01:25.634Z,Vizzini,CT,34.8
2026-08-06T12:01:25.634Z,Zafferana Etnea,CT,32.9
2026-08-06T12:01:25.634Z,Mazzarrone,CT,33.8
2026-08-06T12:01:25.634Z,Maniace,CT,32.4
2026-08-06T12:01:25.634Z,Ragalna,CT,22.1
2026-08-06T12:01:25.634Z,Acate,RG,34.5
2026-08-06T12:01:25.634Z,Chiaramonte Gulfi,RG,33.9
2026-08-06T12:01:25.634Z,Comiso,RG,36.2
2026-08-06T12:01:25.634Z,Giarratana,RG,32.9
2026-08-06T12:01:25.634Z,Ispica,RG,34.3
2026-08-06T12:01:25.634Z,Modica,RG,35.3
2026-08-06T12:01:25.634Z,Monterosso Almo,RG,32.9
2026-08-06T12:01:25.634Z,Pozzallo,RG,37.6
2026-08-06T12:01:25.634Z,Ragusa,RG,34.5
2026-08-06T12:01:25.634Z,Santa Croce Camerina,RG,31.8
2026-08-06T12:01:25.634Z,Scicli,RG,30.9
2026-08-06T12:01:25.634Z,Vittoria,RG,34.5
2026-08-06T12:01:25.634Z,Augusta,SR,34.3
2026-08-06T12:01:25.634Z,Avola,SR,33.9
2026-08-06T12:01:25.634Z,Buccheri,SR,34
2026-08-06T12:01:25.634Z,Buscemi,SR,32.7
